epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9991,2.17544,6.73186,1.22499,0,0,0,0,2.13961,5.72552,1.32333,0.000194737,0.000194737,0.0807211
2,22.6454,2.23487,5.31202,1.20395,0,0,0,0,1.83929,5.6636,1.10474,0.000392132,0.000392132,0.0609184
3,29.0883,1.98823,4.75989,1.14378,0.0122,0.07046,0.00699,0.00457,1.93736,4.9463,1.15555,0.000586886,0.000586886,0.0411132
4,35.0805,2.06029,4.43941,1.16467,0.28366,0.07592,0.0219,0.01149,2.1296,4.31097,1.21823,0.000779001,0.000779001,0.0213053
5,41.0641,1.96389,4.30296,1.12938,0.29024,0.05896,0.02545,0.01575,2.0628,3.9916,1.19771,0.000968476,0.000968476,0.00149479
6,47.197,2.00037,4.15487,1.12769,0.41714,0.07745,0.03521,0.02279,1.86266,3.96736,1.11197,0.000967,0.000967,0.000967
7,53.4876,1.93358,3.9797,1.10172,0.36891,0.10664,0.03884,0.02574,1.94989,3.93389,1.15675,0.0009604,0.0009604,0.0009604
8,59.6293,1.77849,3.68946,1.0626,0.26823,0.12374,0.04331,0.03016,1.7514,3.71659,1.06605,0.0009538,0.0009538,0.0009538
9,65.6887,1.80435,3.5842,1.07168,0.22952,0.11828,0.04983,0.0315,1.91521,3.60448,1.18815,0.0009472,0.0009472,0.0009472
10,71.8279,1.88562,3.73228,1.10685,0.2802,0.13654,0.06171,0.03699,1.99045,3.5897,1.16562,0.0009406,0.0009406,0.0009406
11,78.2377,1.70215,3.34759,1.04819,0.35219,0.13757,0.07214,0.04732,1.80892,3.45352,1.10088,0.000934,0.000934,0.000934
12,85.1682,1.72202,3.38164,1.04669,0.20189,0.20515,0.08475,0.05835,1.68824,3.52298,1.11881,0.0009274,0.0009274,0.0009274
13,91.3399,1.67063,3.23362,1.04888,0.31771,0.16058,0.09874,0.06476,1.79044,3.3393,1.12568,0.0009208,0.0009208,0.0009208
14,97.6923,1.63458,3.24939,1.02899,0.30086,0.19672,0.1078,0.06385,1.9764,3.62478,1.19311,0.0009142,0.0009142,0.0009142
15,103.326,1.67445,3.3536,1.05207,0.32303,0.17354,0.10288,0.06594,1.96795,3.38818,1.17283,0.0009076,0.0009076,0.0009076
16,109.12,1.70697,3.29612,1.05766,0.32985,0.15321,0.11839,0.07546,1.91515,3.24264,1.12958,0.000901,0.000901,0.000901
